('35867', ['italian'])
('46161', ['italian'])
('39305', ['mexican'])
('42625', [])
('39766', ['japanese'])
('31940', ['spanish'])
('28666', ['southern_us'])
('35784', [])
('11508', ['korean'])
('15181', ['italian'])
('15367', ['indian'])
('21805', ['southern_us'])
('23269', [])
('24169', ['southern_us'])
('26842', ['italian'])
('3600', ['filipino'])
('15385', ['cajun_creole'])
('42267', ['italian'])
('7211', ['indian'])
('9126', [])
('37285', ['mexican'])
('48168', ['irish'])
('2633', [])
('13444', ['italian'])
('11626', ['greek'])
('23441', ['italian'])
('32528', ['thai'])
('23008', ['japanese'])
('20380', ['italian'])
('45802', ['italian'])
('45800', [])
('23614', ['chinese'])
('19276', ['mexican'])
('34798', ['italian', 'greek'])
('25511', ['greek'])
('30043', ['chinese'])
('42523', ['mexican'])
('28466', ['mexican'])
('47405', ['italian'])
('36951', ['brazilian'])
('46679', [])
('45751', ['southern_us'])
('13023', ['indian'])
('9258', ['italian'])
('20108', ['italian'])
('30368', [])
('14510', [])
('27412', ['mexican', 'southern_us'])
('6332', ['southern_us'])
('28282', ['greek'])
('47011', ['italian'])
('247', ['mexican'])
('42669', ['southern_us'])
('22802', [])
('22900', ['mexican'])
('12173', ['southern_us'])
('41070', ['mexican'])
('22141', [])
('14571', [])
('39821', ['indian'])
('42344', ['italian'])
('12660', ['mexican'])
('19429', ['indian'])
('11861', ['jamaican'])
('24040', ['mexican'])
('7148', ['vietnamese'])
('17089', ['italian', 'greek'])
('12194', ['chinese'])
('10162', ['chinese'])
('43384', ['french'])
('22338', ['mexican'])
('13160', ['indian'])
('26408', ['indian'])
('40255', ['filipino'])
('22222', ['mexican'])
('29304', ['mexican'])
('32321', [])
('45670', ['italian'])
('278', ['southern_us'])
('42172', ['indian'])
('25613', ['southern_us'])
('16404', ['korean'])
('35798', ['italian'])
('17741', ['mexican'])
('49510', ['mexican'])
('35048', ['italian'])
('39421', ['thai'])
('37617', ['indian'])
('15965', ['indian'])
('19672', ['italian'])
('28214', ['thai'])
('7991', [])
('25926', ['filipino'])
('5486', [])
('39748', [])
('32029', ['indian'])
('23828', [])
('33840', ['russian'])
('16397', ['indian'])
('29247', [])
('4870', ['chinese'])
('11162', ['southern_us'])
('44983', ['french'])
('28211', ['chinese'])
('388', ['chinese'])
('8285', ['italian'])
('44860', [])
('33557', ['southern_us'])
('8523', ['mexican'])
('23496', ['chinese'])
('32508', ['mexican'])
('14907', ['cajun_creole'])
('15740', [])
('32414', ['mexican', 'french'])
('49715', ['mexican'])
('26589', ['italian'])
('48102', ['indian'])
('9341', [])
('4732', ['southern_us'])
('9816', ['mexican'])
('36245', ['mexican'])
('9476', ['french'])
('5778', [])
('44478', [])
('26', [])
('31347', ['cajun_creole'])
('4586', ['greek'])
('4994', ['indian'])
('18971', ['southern_us'])
('48278', [])
('987', [])
('42103', [])
('47863', ['thai'])
('40644', ['chinese'])
('38058', ['mexican'])
('4056', ['mexican'])
('3463', ['jamaican'])
('19128', ['italian'])
('32114', ['mexican'])
('15640', [])
('46658', ['french'])
('25137', ['italian'])
('47156', ['chinese'])
('17768', [])
('13227', [])
('45541', [])
('14394', ['british'])
('32786', ['indian'])
('18313', ['italian'])
('43121', [])
('44461', ['southern_us'])
('25293', [])
('22969', ['italian'])
('26034', ['cajun_creole'])
('37232', [])
('15050', [])
('16805', [])
('28308', ['italian'])
('40521', ['japanese'])
('48925', ['russian'])
('12581', ['mexican'])
('11772', ['mexican'])
('5367', ['indian'])
('35964', ['southern_us'])
('20598', ['mexican'])
('20664', ['cajun_creole'])
('15537', ['chinese'])
('31230', ['southern_us'])
('11739', ['french'])
('21134', ['southern_us'])
('38541', ['cajun_creole'])
('32261', ['thai', 'vietnamese'])
('6646', ['cajun_creole'])
('17254', ['italian'])
('13897', ['mexican'])
('20013', ['italian'])
('19016', ['mexican'])
('37503', [])
('7278', ['italian'])
('37867', ['mexican'])
('11349', ['french'])
('24167', ['french'])
('32016', ['cajun_creole'])
('37668', [])
('15578', ['mexican'])
('6486', ['italian', 'indian'])
('42399', [])
('41395', ['mexican'])
('20264', ['cajun_creole'])
('6489', ['chinese'])
('31673', ['italian'])
('39937', ['filipino'])
('11201', ['mexican'])
('11566', ['greek'])
('18155', ['cajun_creole'])
('32173', ['indian'])
('20335', ['southern_us', 'cajun_creole'])
('3541', [])
('34278', ['filipino'])
('35731', ['mexican'])
('21752', [])
('16152', ['mexican'])
('48756', [])
('22107', ['mexican'])
('5105', ['italian'])
('24155', ['chinese'])
('27647', ['southern_us'])
('5115', ['mexican'])
('8305', [])
('41072', ['irish'])
('7011', [])
('7190', ['mexican'])
('34049', ['chinese'])
('11314', ['mexican'])
('15815', ['japanese'])
('13224', ['mexican'])
('18939', ['greek'])
('43012', ['italian'])
('18247', ['mexican'])
('6246', ['japanese'])
('46821', ['indian'])
('39649', ['moroccan'])
('32630', [])
('41180', ['italian'])
('23196', [])
('19857', ['mexican'])
('3761', ['italian'])
('29813', ['italian'])
('28209', ['korean'])
('35625', ['indian'])
('39857', ['italian'])
('21181', ['indian'])
('34494', ['italian'])
('32002', ['italian'])
('23716', ['italian'])
('2071', ['moroccan'])
('21071', ['italian'])
('23465', ['indian'])
('18995', ['indian'])
('26926', [])
('5970', [])
('12871', ['italian'])
('3661', ['indian'])
('14267', [])
('44751', [])
('31322', ['southern_us'])
('3844', ['italian'])
('9720', [])
('24211', ['italian'])
('6876', ['spanish'])
('9724', [])
('4381', ['chinese'])
('5218', ['italian'])
('44726', ['indian'])
('30890', ['cajun_creole'])
('18235', ['southern_us'])
('26893', ['irish'])
('44570', ['korean'])
('35160', [])
('22363', ['korean'])
('46910', ['italian'])
('14377', ['mexican'])
('47567', ['indian'])
('16671', ['italian'])
('32770', ['thai'])
('19618', ['indian'])
('19482', [])
('42137', [])
('28782', ['chinese'])
('46336', ['moroccan'])
('17317', ['italian'])
('14540', ['italian'])
('25992', ['southern_us'])
('21671', ['brazilian'])
('40946', ['italian'])
('27618', ['mexican'])
('28348', [])
('498', ['italian'])
('4238', ['french'])
('41715', ['vietnamese'])
('44066', ['british'])
('13288', [])
('38572', [])
('43482', ['indian', 'greek'])
('22048', ['italian'])
('39574', [])
('2193', ['british', 'irish'])
('3911', ['mexican'])
('22273', ['italian'])
('17506', ['thai'])
('32737', ['mexican'])
('30022', [])
('24894', ['southern_us'])
('15916', [])
('35262', ['italian'])
('16074', [])
('17614', ['indian'])
('25853', ['greek'])
('27690', ['indian'])
('37722', ['mexican'])
('10640', ['korean'])
('13555', ['french'])
('22094', ['southern_us'])
('4506', ['russian'])
('23818', ['italian'])
('17217', ['southern_us'])
('10383', ['korean'])
('7025', ['chinese'])
('35675', ['thai'])
('19989', ['italian'])
('15760', ['spanish'])
('49035', [])
('32018', ['french'])
('17221', ['mexican'])
('13057', ['italian'])
('23879', ['mexican'])
('49473', [])
('39614', ['british'])
('5605', [])
('21501', ['mexican'])
('15847', [])
('14957', ['italian'])
('34851', ['chinese'])
('20617', [])
('12022', [])
('13463', ['japanese'])
('27627', [])
('27909', ['brazilian'])
('24228', ['mexican'])
('32516', ['french'])
('29434', ['french'])
('22028', ['italian'])
('1645', ['chinese'])
('3909', ['indian'])
('12496', ['french'])
('30882', [])
('31815', ['indian'])
('1909', ['italian'])
('24269', ['mexican'])
('15295', ['chinese'])
('5651', ['southern_us'])
('37251', [])
('18123', ['italian'])
('3151', ['chinese'])
('4049', ['mexican'])
('47648', ['italian'])
('39974', [])
('47556', ['southern_us', 'cajun_creole'])
('42107', ['thai'])
('6346', ['mexican'])
('28258', ['southern_us'])
('777', [])
('22003', ['indian'])
('44575', ['italian'])
('45763', ['mexican'])
('12454', ['japanese'])
('22494', [])
('28048', ['mexican', 'jamaican'])
('36568', ['italian'])
('28368', [])
('44084', ['korean'])
('32578', ['italian'])
('42435', ['vietnamese'])
('34427', [])
('12789', ['cajun_creole'])
('11658', [])
('42888', ['mexican'])
('15747', ['southern_us'])
('1663', ['southern_us'])
('12315', ['japanese'])
('20747', ['irish'])
('7802', ['cajun_creole'])
('25895', ['chinese'])
('31102', [])
('38368', ['chinese'])
('10933', ['korean'])
('44710', ['italian'])
('49554', ['british'])
('4948', [])
('46913', ['mexican'])
('12234', [])
('17032', ['moroccan'])
('40777', ['mexican'])
('16615', [])
('32080', ['italian'])
('35099', ['mexican'])
('32682', [])
('14688', [])
('23431', ['indian'])
('6084', [])
('24221', ['french'])
('6585', ['mexican'])
('29688', ['mexican'])
('33646', [])
('24073', ['chinese'])
('33018', ['filipino'])
('4136', ['indian'])
('33577', ['southern_us'])
('4862', [])
('28407', ['mexican'])
('33682', [])
('11532', ['mexican'])
('15122', [])
('43388', ['mexican'])
('38249', ['italian'])
('32869', [])
('34322', ['italian'])
('9674', [])
('19619', ['mexican'])
('14012', ['thai'])
('10340', ['italian'])
('45040', [])
('30370', ['chinese'])
('14741', ['indian'])
('23039', ['indian'])
('22313', [])
('35918', ['mexican'])
('36764', ['korean'])
('18319', [])
('2943', ['italian'])
('36743', [])
('11011', ['italian'])
('5484', [])
('28088', ['italian'])
('45757', [])
('39947', [])
('37307', ['mexican'])
('13068', ['thai'])
('45051', ['italian'])
('22891', ['russian'])
('20985', ['mexican'])
('5169', ['italian'])
('12515', ['southern_us'])
('36539', ['indian'])
('39038', ['italian'])
('33560', ['chinese'])
('22441', [])
('25563', ['southern_us'])
('37008', ['italian'])
('17526', ['british'])
('11751', ['italian'])
('10983', ['japanese'])
('13360', ['chinese'])
('23099', ['italian'])
('36033', ['southern_us'])
('5551', [])
('20843', ['mexican'])
('14846', ['mexican'])
('7815', ['mexican'])
('27829', [])
('2777', [])
('36923', ['moroccan'])
('33287', ['indian'])
('23296', ['korean'])
('3739', ['japanese'])
('6058', ['southern_us', 'cajun_creole'])
('31584', ['italian'])
('34880', ['italian'])
('48894', ['french'])
('37150', ['british'])
('15251', [])
('13914', ['chinese'])
('23912', ['chinese'])
('7125', ['italian'])
('2131', [])
('4794', [])
('45674', ['italian'])
('38907', ['mexican'])
('46703', ['southern_us'])
('10859', ['italian'])
('25840', [])
('25169', ['filipino'])
('13102', ['italian'])
('13155', [])
('16091', [])
('35556', ['mexican'])
('2450', ['mexican'])
('18503', ['southern_us'])
('40009', ['mexican'])
('16933', ['thai'])
('40781', ['chinese'])
('48668', ['mexican'])
('23793', ['italian'])
('20788', ['southern_us'])
('43836', [])
('34289', ['southern_us'])
('8772', ['italian'])
('20275', [])
('26890', ['brazilian'])
('19827', ['irish'])
('39291', ['mexican'])
('18333', ['southern_us'])
('17321', ['mexican'])
('9499', ['cajun_creole'])
('21490', ['mexican'])
('15083', ['mexican'])
('39276', ['italian'])
('5363', ['italian'])
('37583', ['italian'])
('11756', ['chinese'])
('13461', [])
('2308', ['italian'])
('8493', ['thai'])
('22803', ['thai', 'vietnamese'])
('29505', ['italian'])
('42018', ['jamaican'])
('25736', ['chinese'])
('18442', [])
('38670', ['italian'])
('8828', [])
('31670', ['indian'])
('32819', ['italian'])
('46522', ['italian'])
('34065', ['italian'])
('49423', ['italian'])
('47928', ['southern_us'])
('25711', ['mexican'])
('47789', [])
('35385', ['indian'])
('47078', ['mexican'])
('20126', ['italian'])
('34294', [])
('42047', ['mexican'])
('4904', ['mexican'])
('44038', [])
('42701', ['chinese'])
('4144', ['jamaican'])
('21551', [])
('31513', ['italian'])
('4453', ['mexican'])
('30805', [])
('37741', [])
('19882', ['italian'])
('27446', ['italian'])
('40680', ['mexican'])
('12440', ['italian'])
('32166', ['thai'])
('3924', ['jamaican'])
('12053', ['japanese'])
('2718', ['mexican'])
('15489', ['southern_us'])
('10911', ['mexican'])
('45752', ['italian'])
('39960', ['southern_us'])
('29030', ['southern_us'])
('5588', ['southern_us', 'cajun_creole'])
('29892', ['cajun_creole'])
('44745', [])
('25981', ['mexican'])
('5318', ['indian'])
('27479', [])
('1354', ['indian', 'thai'])
('14110', ['mexican'])
('42703', ['mexican'])
('29280', ['mexican'])
('10502', ['italian'])
('33137', ['thai'])
('14775', [])
('41906', ['mexican'])
('1488', [])
('768', ['chinese'])
('5933', [])
('15974', [])
('36791', ['thai'])
('25844', ['southern_us'])
('25575', ['japanese'])
('14703', ['greek'])
('6536', [])
('15805', ['french'])
('22826', [])
('38720', [])
('21090', [])
('21909', ['japanese'])
('25889', ['mexican'])
('5785', ['mexican'])
('10308', [])
('6418', ['southern_us'])
('10280', [])
('26814', ['vietnamese'])
('18078', ['thai'])
('36028', [])
('47300', ['vietnamese'])
('18012', ['southern_us'])
('26966', [])
('27591', [])
('36720', ['indian'])
('35126', ['indian'])
('46514', ['mexican'])
('48412', ['korean'])
('33971', ['italian'])
('20878', ['greek'])
('39557', ['indian'])
('41762', [])
('36691', ['moroccan'])
('33582', [])
('30286', ['spanish'])
('23808', [])
('31602', ['southern_us'])
('30750', ['cajun_creole'])
('45260', ['italian'])
('19439', ['southern_us', 'thai'])
('17319', ['mexican'])
('48085', [])
('27877', ['italian'])
('12701', ['italian'])
('29197', ['french'])
('9268', [])
('34603', ['chinese'])
('5805', ['indian'])
('21113', ['french'])
('46926', ['mexican'])
('17279', [])
('22914', ['thai'])
('2232', [])
('7415', ['italian'])
('15964', ['italian', 'greek'])
('32666', [])
('11704', ['indian'])
('16417', ['southern_us'])
('6355', [])
('42373', [])
('8084', ['italian'])
('23135', ['mexican'])
('35482', ['italian'])
('23120', ['chinese'])
('22469', ['greek'])
('11569', ['cajun_creole'])
('867', [])
('26835', ['southern_us'])
('17557', ['mexican'])
('22396', ['indian'])
('37961', ['chinese'])
('38586', ['italian'])
('34515', [])
('48403', [])
('34353', ['italian'])
('39747', [])
('48493', ['mexican'])
('37007', ['italian'])
('29760', ['mexican'])
('22919', ['indian'])
('47106', ['indian'])
('34479', ['thai'])
('12709', ['indian'])
('26661', ['thai'])
('42118', ['chinese'])
('6213', ['moroccan'])
('28450', ['japanese'])
('44087', ['italian'])
('43785', ['chinese'])
('20520', ['mexican'])
('14929', ['italian'])
('37952', ['chinese'])
('34355', ['italian'])
('14609', [])
('43827', ['mexican'])
('2329', ['italian'])
('17931', [])
('6254', [])
('31474', ['vietnamese'])
('31850', ['filipino'])
('14375', ['southern_us'])
('16713', ['mexican'])
('46145', [])
('30636', ['chinese'])
('31446', ['japanese'])
('21302', ['italian'])
('17263', ['mexican'])
('17230', ['mexican'])
('19641', ['chinese'])
('35699', ['moroccan'])
('48681', ['mexican'])
('10110', ['italian'])
('15752', ['mexican'])
('10950', ['italian'])
('9707', ['mexican'])
('46340', ['japanese'])
('45673', [])
('46596', ['chinese'])
('7541', ['chinese'])
('9704', ['southern_us'])
('42443', [])
('47903', [])
('694', [])
('20077', ['italian'])
('12811', ['southern_us'])
('35549', ['mexican'])
('12641', [])
('30986', ['mexican'])
('27411', ['thai'])
('38646', ['thai'])
('47422', [])
('8034', ['french'])
('40018', ['chinese'])
('25246', ['mexican'])
('236', ['indian'])
('15597', [])
('4547', [])
('42668', ['french'])
('47174', ['southern_us'])
('45210', ['chinese'])
('16301', ['thai'])
('14630', ['italian'])
('14514', ['russian'])
('24320', ['chinese', 'thai'])
('38277', ['mexican'])
('21455', ['mexican'])
('3818', [])
('28527', [])
('48250', ['southern_us'])
('39299', [])
('2013', ['greek'])
('37054', ['chinese'])
('16604', ['italian'])
('30045', ['chinese'])
('4428', ['mexican'])
('24539', ['italian'])
('18172', ['jamaican'])
('24454', ['italian'])
('12935', ['jamaican'])
('11362', [])
('24909', ['indian'])
('14070', [])
('25554', ['mexican'])
('38180', ['moroccan'])
('42765', ['cajun_creole'])
('38683', ['chinese', 'korean'])
('46374', ['indian'])
('33224', ['thai'])
('7502', ['italian'])
('22489', ['southern_us'])
('19797', ['french'])
('44136', ['southern_us'])
('25633', ['mexican'])
('22595', ['mexican'])
('47242', ['italian'])
('38756', ['russian'])
('13320', [])
('6278', ['thai'])
('21241', ['indian'])
('9876', ['italian'])
('11263', ['thai'])
('48504', ['brazilian'])
('11661', ['italian'])
('35209', ['mexican'])
('16966', ['chinese'])
('31887', ['southern_us'])
('39197', ['indian'])
('27402', ['italian'])
('33684', ['russian'])
('28947', ['french'])
('14163', ['mexican'])
('36282', ['mexican'])
('42957', ['mexican'])
('17534', [])
('43354', ['cajun_creole'])
('42799', [])
('22179', ['chinese'])
('29939', ['greek'])
('37642', ['mexican'])
('19752', ['mexican'])
('26733', [])
('21212', ['italian'])
('3358', ['mexican'])
('35369', ['japanese'])
('44359', ['southern_us'])
('4804', [])
('19259', [])
('43052', ['thai', 'vietnamese'])
('17600', ['mexican'])
('1952', [])
('21441', [])
('7784', ['chinese'])
('38267', [])
('39599', ['italian'])
('21825', ['italian'])
('34221', ['italian'])
('13015', ['greek', 'moroccan'])
('39538', ['italian'])
('36744', ['mexican'])
('37666', ['southern_us'])
('1205', ['southern_us'])
('36159', ['moroccan'])
('47808', ['southern_us'])
('49264', ['indian'])
('37764', ['french'])
('23108', ['jamaican'])
('27958', [])
('13310', ['italian'])
('11945', ['italian'])
('46466', [])
('22532', ['thai'])
('32015', [])
('47316', ['japanese'])
('4019', [])
('35681', ['indian'])
('8919', ['italian'])
('12946', ['thai'])
('47916', ['italian'])
('38523', ['cajun_creole'])
('49684', ['chinese', 'korean'])
('14931', ['indian'])
('11633', ['italian'])
('12204', ['thai'])
('47', ['indian'])
('20177', ['chinese'])
('28793', ['mexican'])
('17584', [])
('47396', [])
('39312', ['mexican'])
('35370', [])
('20795', ['mexican'])
('17369', ['british'])
('43238', ['british'])
('15617', [])
('29731', ['italian'])
('45838', ['mexican'])
('29886', ['southern_us', 'cajun_creole'])
('25500', ['indian', 'greek', 'moroccan'])
('35225', ['mexican'])
('31307', ['moroccan'])
('11611', ['jamaican'])
('31802', ['french'])
('392', ['spanish'])
('17152', ['british'])
('48887', ['italian'])
('6591', [])
('38963', ['mexican'])
('22498', ['korean'])
('48092', ['japanese'])
('45208', ['thai'])
('33719', ['southern_us'])
('2493', [])
('38527', ['southern_us'])
('11344', ['chinese'])
('43872', ['irish'])
('24156', [])
('26832', [])
('12268', ['indian'])
('21401', ['southern_us'])
('16887', ['italian'])
('27178', ['mexican'])
('36270', ['cajun_creole'])
('45642', ['mexican'])
('41661', ['korean'])
('48497', ['italian'])
('31498', ['italian'])
('37701', ['mexican'])
('36361', ['greek'])
('28956', ['french'])
('3667', ['mexican'])
('11196', ['indian'])
('48231', [])
('18556', ['chinese'])
('26166', ['southern_us'])
('25095', ['indian'])
('32614', ['italian'])
('37216', ['southern_us', 'cajun_creole'])
('21688', ['british'])
('1107', [])
('40683', ['italian'])
('29374', ['mexican'])
('30584', [])
('27505', ['chinese'])
('19218', ['indian'])
('10875', ['chinese'])
('39290', ['italian'])
('16256', ['mexican'])
('9802', [])
('10600', ['southern_us'])
('11695', ['thai'])
('42370', ['italian'])
('32368', ['chinese'])
('17105', ['cajun_creole'])
('49223', [])
('3237', [])
('24217', ['italian'])
('36704', ['mexican'])
('2526', [])
('31984', ['indian'])
('8609', ['chinese'])
('6770', ['french'])
('37934', [])
('15337', [])
('1221', ['indian'])
('36687', ['spanish'])
('30377', ['italian'])
('25569', ['chinese'])
('14869', ['indian'])
('1569', [])
('12105', ['japanese'])
('6845', [])
('49338', ['greek'])
('22540', ['italian'])
('38333', [])
('13303', ['mexican'])
('6390', [])
('21187', ['filipino'])
('24135', ['southern_us'])
('13777', ['indian'])
('20662', ['french'])
('23374', ['japanese'])
('2716', [])
('17185', [])
('22070', ['mexican'])
('11444', ['mexican'])
('3403', [])
('43237', [])
('11475', ['italian'])
('30939', ['italian'])
('31839', [])
('49538', ['southern_us'])
('34102', [])
('24881', ['italian'])
('36024', ['thai'])
('33922', ['thai'])
('325', ['italian'])
('11849', ['cajun_creole'])
('35004', ['mexican'])
('18300', ['italian'])
('20700', ['southern_us'])
('25669', ['indian'])
('19525', [])
('19132', ['italian'])
('10691', ['indian'])
('37521', ['southern_us'])
('26201', ['mexican'])
('5479', ['mexican'])
('40458', ['japanese'])
('40103', [])
('48876', ['jamaican'])
('44004', ['southern_us'])
('11814', ['italian'])
('16523', ['italian'])
('27934', [])
('41640', ['french'])
('12339', ['chinese'])
('24430', ['thai'])
('9264', ['italian'])
('15234', ['cajun_creole'])
('27362', [])
('18356', ['cajun_creole'])
('40086', ['mexican'])
('19975', [])
('49218', ['korean'])
('42279', ['russian'])
('37858', ['indian'])
('1759', ['cajun_creole'])
('11407', [])
('45139', ['italian'])
('46704', ['southern_us'])
('20735', ['thai'])
('6426', ['cajun_creole'])
('9043', [])
('1820', ['italian'])
('44894', ['italian'])
('24107', ['indian'])
('4117', ['chinese'])
('39829', ['southern_us'])
('29264', ['italian'])
('7084', ['italian'])
('43903', ['mexican'])
('45720', ['chinese'])
('403', ['mexican'])
('36795', ['italian', 'french'])
('2942', ['indian'])
('40850', ['mexican'])
('40323', ['italian', 'russian'])
('35983', ['chinese'])
('35326', ['indian'])
('6501', ['mexican'])
('1658', [])
('30314', [])
('34708', [])
('48014', ['southern_us'])
('48259', ['southern_us'])
('47941', ['southern_us'])
('23870', ['southern_us'])
('32852', ['mexican'])
('13965', ['italian'])
('8734', ['italian'])
('1655', ['irish'])
('10195', ['chinese'])
('1232', ['moroccan'])
('29458', ['italian'])
('45089', ['southern_us'])
('30565', ['chinese'])
('48902', [])
('4016', ['british'])
('48137', ['mexican'])
('7556', [])
('2870', [])
('33269', ['italian'])
('16369', ['chinese', 'korean'])
('41580', ['italian'])
('15372', ['mexican'])
('17978', ['greek'])
('21054', ['southern_us'])
('12453', [])
('22666', ['southern_us'])
('26624', ['mexican'])
('32571', ['mexican'])
('6113', ['indian'])
('1785', ['thai'])
('17994', ['mexican'])
('23088', ['mexican'])
('1064', ['cajun_creole'])
('29469', ['japanese'])
('2040', ['chinese'])
('29547', [])
('1384', ['chinese'])
('36070', [])
('20363', [])
('18992', ['chinese'])
('39363', ['mexican'])
('300', ['mexican'])
('2769', ['french'])
('23403', ['indian'])
('5265', ['italian'])
